controller,scenario,success,rmse_h,max_abs_h,rmse_theta_deg,max_abs_theta_deg,rmse_v,sat_ratio,failure_reason
rl_random,A_impulse_push,0,0.0809919,0.149441,1.31731,2.14949,1.37711,0,height_fail
rl_random,B_constant_push,0,0.0110378,0.0240438,14.0777,29.5419,0.517794,0,theta_fail
rl_random,C_rough_terrain,0,0.0670911,0.149496,1.4649,2.65481,1.84141,0,height_fail
rl_random,C_noise_terrain,0,0.0810767,0.149689,1.31731,2.14949,1.25236,0,height_fail
