controller,scenario,success,rmse_h,max_abs_h,rmse_theta_deg,max_abs_theta_deg,rmse_v,sat_ratio,failure_reason,qp_success_ratio,qp_solver_success_ratio,qp_fallback_ratio,mean_qp_iterations,mean_qp_solve_time_ms,max_qp_solve_time_ms,max_qp_primal_residual,max_qp_dual_residual,max_qp_eq_residual,max_qp_ineq_violation,max_qp_friction_ratio,max_qp_leg_slack,max_qp_height_slack
lqr,D_large_irregular_terrain,1,0.012245,0.0367394,0.130209,0.401421,0.267238,0,none,,,,,,,,,,,,,
wbc_qp,D_large_irregular_terrain,1,0.000140658,0.000373828,0.00528322,0.0114472,0.134869,0.0166459,none,1,1,0,220.787,0.133635,2.31321,1.08251e-13,5.01289e-11,1.13687e-13,0,0.738495,0,0
rl_ppo,D_large_irregular_terrain,1,0.00425684,0.00864685,0.0400838,0.117464,0.231127,0,none,,,,,,,,,,,,,
rl_ppo_feedforward,D_large_irregular_terrain,1,0.00414302,0.0104467,0.680987,2.1695,0.782501,0.0228881,none,,,,,,,,,,,,,
rl_ppo_direct,D_large_irregular_terrain,1,0.00356962,0.0101298,0.221595,0.69526,7.60147,0,none,,,,,,,,,,,,,
lqr,E_combined_stress,1,0.027797,0.0465068,0.49056,0.699141,0.583288,0,none,,,,,,,,,,,,,
wbc_qp,E_combined_stress,1,0.000193159,0.000538514,0.0116532,0.0207308,0.199604,0.0162297,none,1,1,0,220.599,0.133469,2.297,1.07838e-13,2.74686e-11,1.13687e-13,0,0.750669,0,0
rl_ppo,E_combined_stress,1,0.00332534,0.00799189,0.0452048,0.125281,0.429053,0.00332917,none,,,,,,,,,,,,,
rl_ppo_feedforward,E_combined_stress,1,0.0136975,0.0236049,3.15873,6.44867,2.85755,0.0486891,none,,,,,,,,,,,,,
rl_ppo_direct,E_combined_stress,1,0.00730711,0.0148823,0.3123,0.642314,4.40029,0,none,,,,,,,,,,,,,
lqr,F_high_speed_flat,1,0.0317945,0.111628,0.369949,1.13247,0.66862,0,none,,,,,,,,,,,,,
wbc_qp,F_high_speed_flat,1,0.00205796,0.0072251,0.0393851,0.139383,0.711424,0.0632543,none,1,1,0,131.367,0.0767032,0.340791,1.07305e-13,6.95979e-11,1.13687e-13,0,0.503638,0,0
rl_ppo,F_high_speed_flat,1,0.0283498,0.119089,0.689712,3.01933,0.553053,0.000416146,none,,,,,,,,,,,,,
rl_ppo_feedforward,F_high_speed_flat,1,0.00546301,0.00907052,0.527445,1.43844,2.30603,0,none,,,,,,,,,,,,,
rl_ppo_direct,F_high_speed_flat,1,0.00220938,0.00403657,0.151326,0.415969,10.2279,0,none,,,,,,,,,,,,,
lqr,G_requirement_boundary,1,0.048815,0.102587,0.821236,0.948429,1.07535,0.00790678,none,,,,,,,,,,,,,
wbc_qp,G_requirement_boundary,1,0.000427596,0.00189108,0.0141035,0.0331627,0.388153,0.0270495,none,1,1,0,231.929,0.14109,1.98025,3.26579e-13,5.55459e-10,3.12639e-13,0,0.768324,0,0
rl_ppo,G_requirement_boundary,1,0.0205932,0.0901628,0.559048,2.32402,0.798166,0.00374532,none,,,,,,,,,,,,,
rl_ppo_feedforward,G_requirement_boundary,1,0.0179398,0.0273385,7.31235,15.0027,4.41383,0.0582605,none,,,,,,,,,,,,,
rl_ppo_direct,G_requirement_boundary,1,0.0099853,0.0165657,0.420396,0.834374,4.83128,0,none,,,,,,,,,,,,,
